model_name;user_id;hotkey_count;technique_id;log_likelyhood;n_params;N;p1;p2;p3;p4;p5;p6;p7;p8;p9;p10
RW;0;0;0;-394.09583584870506;2;720;0.0;5.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;1;339;1;-1116.8860513340676;2;720;0.0;5.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;2;479;2;-1243.1773003096112;2;711;0.0;5.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;3;0;0;-383.2756230420382;2;720;0.0;5.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;4;504;1;-1495.5934995674145;2;720;0.0;5.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;5;542;2;-1382.127183109456;2;720;0.0;5.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;6;0;0;-383.2756230420382;2;720;0.0;5.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;7;507;1;-1927.9044181243057;2;715;0.0;5.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;8;532;2;-1359.6150236841765;2;717;0.0;5.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;9;557;0;-1815.8717986447602;2;720;0.0;5.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;10;370;1;-1201.2837112260709;2;720;0.0;5.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;11;582;2;-1468.6888855627963;2;720;0.0;5.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;12;0;0;-383.2756230420382;2;720;0.0;5.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;13;641;1;-1826.692011451427;2;720;0.0;5.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;14;352;2;-970.9590964560925;2;720;0.0;5.0;0.3;-1;-1;-1;-1;-1;-1;-1
RW;0;0;0;-349.5447866602306;2;720;0.0;5.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;1;339;1;-1144.6140236941405;2;720;0.0;5.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;2;479;2;-1320.4331643716043;2;711;0.0;5.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;3;0;0;-337.6425525728966;2;720;0.0;5.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;4;504;1;-1561.1922167508274;2;720;0.0;5.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;5;542;2;-1472.68231562904;2;720;0.0;5.5;0.3;-1;-1;-1;-1;-1;-1;-1
RW;6;0;0;-337.6425525728966;2;720;0.0;5.5;0.3;-1;-1;-1;-1;-1;-1;-1
